COUNTY,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_R_INTERNATIONAL_MIG_2018,beta_Median_Household_Income_2018,beta_Density_per_square_mile_of_land_area_Population,beta_Active_Physicians_per_100000_Population_2018_AAMC,beta_Total_nurse_practitioners_2019,beta_Mean_Annual_Precipitation,beta_Annual_Mean_Range_Temp,beta_Cardiovascular_diseases_Mortality_Rate_2014,beta_Hypertensive_heart_disease_Mortality_Rate_2014,beta_Leukemia_Mortality_Rate_2014,beta_Chronic_respiratory_diseases_Mortality_Rate_2014,beta_Asthma_Mortality_Rate_2014,beta_percent_fair_or_poor_health,beta_percent_smokers,beta_percent_physically_inactive,beta_percent_adults_with_diabetes,beta_percent_insufficient_sleep,se_Intercept,se_R_INTERNATIONAL_MIG_2018,se_Median_Household_Income_2018,se_Density_per_square_mile_of_land_area_Population,se_Active_Physicians_per_100000_Population_2018_AAMC,se_Total_nurse_practitioners_2019,se_Mean_Annual_Precipitation,se_Annual_Mean_Range_Temp,se_Cardiovascular_diseases_Mortality_Rate_2014,se_Hypertensive_heart_disease_Mortality_Rate_2014,se_Leukemia_Mortality_Rate_2014,se_Chronic_respiratory_diseases_Mortality_Rate_2014,se_Asthma_Mortality_Rate_2014,se_percent_fair_or_poor_health,se_percent_smokers,se_percent_physically_inactive,se_percent_adults_with_diabetes,se_percent_insufficient_sleep,t_Intercept,t_R_INTERNATIONAL_MIG_2018,t_Median_Household_Income_2018,t_Density_per_square_mile_of_land_area_Population,t_Active_Physicians_per_100000_Population_2018_AAMC,t_Total_nurse_practitioners_2019,t_Mean_Annual_Precipitation,t_Annual_Mean_Range_Temp,t_Cardiovascular_diseases_Mortality_Rate_2014,t_Hypertensive_heart_disease_Mortality_Rate_2014,t_Leukemia_Mortality_Rate_2014,t_Chronic_respiratory_diseases_Mortality_Rate_2014,t_Asthma_Mortality_Rate_2014,t_percent_fair_or_poor_health,t_percent_smokers,t_percent_physically_inactive,t_percent_adults_with_diabetes,t_percent_insufficient_sleep,p_Intercept,p_R_INTERNATIONAL_MIG_2018,p_Median_Household_Income_2018,p_Density_per_square_mile_of_land_area_Population,p_Active_Physicians_per_100000_Population_2018_AAMC,p_Total_nurse_practitioners_2019,p_Mean_Annual_Precipitation,p_Annual_Mean_Range_Temp,p_Cardiovascular_diseases_Mortality_Rate_2014,p_Hypertensive_heart_disease_Mortality_Rate_2014,p_Leukemia_Mortality_Rate_2014,p_Chronic_respiratory_diseases_Mortality_Rate_2014,p_Asthma_Mortality_Rate_2014,p_percent_fair_or_poor_health,p_percent_smokers,p_percent_physically_inactive,p_percent_adults_with_diabetes,p_percent_insufficient_sleep,sumW
8031,-104.8767197,39.76145293,62.84283379,15.35390625,70.74258788,-7.899754098,0.216378598,0.84995805,0.001970018,44.69055026,4.189146481,-2.22240709,18.35496509,-18.79584872,1.223851505,18.87983314,23.92662533,41.72594348,-22.41627011,-2.482439858,-19.64922545,0.010409771,-11.91903237,9.236864161,-10.28537001,9.368178546,-4.546955529,28.52339303,6.630097343,6.896316331,23.70485997,9.662737385,14.27631885,16.94864476,9.654897706,10.26384334,12.35881214,5.965579404,6.872047694,10.50243973,10.22520587,9.420168904,7.024952351,6.1442975,12.72895574,1.566803438,0.631837855,-0.322260027,0.774312319,-1.945188819,0.085725986,1.113943528,2.478185275,4.065333238,-1.813788402,-0.416127201,-2.859297013,0.000991176,-1.165652068,0.980541247,-1.464119541,1.524694816,-0.357213555,0.117261665,0.527538949,0.747277221,0.438804566,0.05184163,0.931689724,0.265388891,0.01325758,4.91E-05,0.069805967,0.677345438,0.004273888,0.999209219,0.243843908,0.326894754,0.143261647,0.127436199,0.720956006,80.84886868
8033,-108.5172642,37.75164644,0,-12.93028392,3.418978769,-3.418978769,0.608127389,0.133846981,1.74E-06,94.23401044,12.75483896,-1.784143653,22.05269444,7.228927103,0.474237387,-7.201626655,2.201827266,26.22562375,-7.007023553,-11.32982136,-20.06356361,1.793976875,-25.37134372,32.94268313,-6.336181394,22.31316756,37.53811973,30.5038597,7.140175355,6.300847064,20.15758932,9.430293568,5.141014332,17.43354448,8.108374554,13.30154038,13.01281415,6.687913778,7.380175438,12.9323664,10.17315405,9.105409016,7.783230695,7.367898183,12.16018592,3.08924875,1.78634814,-0.283159333,1.094014472,0.766564376,0.092245879,-0.413090216,0.271549773,1.97162306,-0.538471039,-1.694074077,-2.718575429,0.138719923,-2.493950608,3.617924584,-0.81408115,3.028430497,3.086969227,0.002024237,0.074139608,0.777073414,0.274032761,0.443398336,0.926508587,0.679568796,0.785986121,0.048740533,0.59029016,0.090350632,0.006592501,0.889680392,0.012684203,0.000301667,0.415660352,0.002478324,0.002039777,76.32183645
8035,-104.9295624,39.32971988,19.36472317,14.70016304,34.65295612,-15.28823295,0.226151774,0.276952736,0.000103528,49.0023253,5.232252116,-1.891990679,17.97161932,-18.46588389,1.50047009,13.18976055,19.78915263,39.04939633,-20.32396294,-2.885171879,-17.85431285,-0.775228761,-13.31656776,12.12800415,-9.257353998,9.410576698,-1.093206448,28.25213338,6.440999274,6.702269952,23.66162146,9.547646654,14.0852798,16.82849212,9.576323521,10.25165189,12.00471166,5.884651771,6.787206822,10.97514113,10.09739602,11.4964773,6.969269358,6.104618901,12.92063652,1.734464603,0.812335461,-0.282291029,0.75952611,-1.93407701,0.106527532,0.783775543,2.066466592,3.809083331,-1.692998842,-0.490287614,-2.630583289,-0.07063497,-1.318812071,1.054932205,-1.328310548,1.541550234,-0.084609334,0.082934067,0.416660906,0.777739016,0.447595062,0.053193639,0.915170635,0.433231094,0.038866466,0.00014216,0.090555137,0.623964734,0.008565596,0.943692788,0.187328367,0.291537702,0.184172317,0.123283949,0.932577386,81.84320859
8037,-106.6953575,39.6278523,18.13993143,5.208224866,9.03079935,9.109132081,0.323045224,0.145098872,1.38E-05,36.5275564,5.602251856,-0.32410712,16.29732571,-3.264357511,3.008542527,-5.483839888,11.69241357,15.90354022,-11.95790146,-1.731845124,-16.25084223,5.018275454,-9.174265428,20.20144897,-7.81733555,16.88382225,5.824924584,31.66936371,6.735274222,6.479647088,23.3078848,9.146940103,12.61431869,17.1997481,9.027092894,11.90793212,13.90804179,6.029783627,7.087623986,11.52091773,10.10351198,8.63094913,7.193269622,6.988295041,12.14814778,1.153403546,0.831777842,-0.050019255,0.699219421,-0.35687973,0.238502182,-0.31883257,1.29525792,1.335541726,-0.859783256,-0.287215136,-2.292847682,0.435579489,-0.908027372,2.340582555,-1.086756922,2.416014515,0.479490758,0.248832799,0.405597764,0.960110234,0.484466837,0.721205887,0.811507226,0.74987474,0.195326732,0.181796154,0.389974335,0.773966598,0.021922759,0.663171871,0.363933621,0.019316122,0.27722788,0.015748294,0.63162302,79.4089339
8039,-104.1358775,39.28656188,11.22376445,-1.530392866,16.74149318,-5.517728726,0.209424934,0.232768349,1.01E-05,41.54762329,4.549112173,-3.247062848,17.59885074,-24.47122184,1.458272299,10.4943113,20.22716954,45.14122246,-21.62742926,-4.584679594,-18.18371093,-1.135948041,-15.05986545,6.930622289,-10.02941356,7.904760793,-3.048057091,24.58859099,6.129094347,6.793450958,23.73089674,9.763204564,14.30006645,16.73723342,10.01026263,9.525896379,10.98728563,5.874409194,6.652972072,10.44646467,9.952068733,12.48632784,6.89782244,5.959375226,13.00285164,1.689711432,0.742216046,-0.477969572,0.741600746,-2.506474352,0.10197661,0.62700394,2.020643243,4.738789995,-1.968405118,-0.780449479,-2.733171091,-0.10873995,-1.513239695,0.555056889,-1.453997062,1.326441194,-0.23441451,0.091182697,0.458012105,0.632705219,0.458384874,0.012244486,0.918781769,0.530702354,0.043401652,2.25E-06,0.049109509,0.435185332,0.006308014,0.91341572,0.130319681,0.578895387,0.146047317,0.184790312,0.814678518,83.65306266
8041,-104.5255592,38.83212335,28.87272818,-4.928616719,50.20657716,-21.33384898,0.225846996,0.335768326,0.000289608,50.48802612,5.860615175,-2.454350623,16.87237735,-21.67267418,1.883184843,5.792167455,14.45735631,38.47475197,-18.86134262,-3.131993676,-15.5341548,-2.207892878,-14.61568144,12.2996937,-8.900129568,7.767977506,0.306891518,26.16777263,6.000543437,6.586836844,23.65166872,9.594442398,13.96643238,16.90441606,9.773486292,9.927197951,10.92921313,5.808555463,6.57126334,11.48093422,9.882657525,13.46710091,6.874128012,5.920841694,13.2325705,1.929397157,0.976680735,-0.372614455,0.713369427,-2.25887793,0.134836499,0.342642268,1.479242501,3.875691021,-1.725773155,-0.539203541,-2.363952561,-0.192309514,-1.478922183,0.913314141,-1.294728517,1.311971829,0.023192132,0.053771808,0.328802665,0.709460625,0.475670336,0.023959471,0.892749812,0.731890593,0.139176081,0.000108502,0.084486861,0.589784743,0.018141834,0.847512234,0.139261677,0.361147646,0.195509339,0.18962579,0.981498492,82.71506413
8043,-105.439638,38.47297252,4.180689396,-32.03134888,40.16182361,-35.98113421,0.298350378,0.178747169,0.000286884,69.82353405,8.512737477,-0.648830608,17.37462006,-13.15939436,1.570141842,0.87254569,9.018514147,29.95739157,-12.58199014,-2.772829415,-14.73644884,-4.719369831,-16.33492282,27.20619614,-6.794547634,11.16650762,8.662387467,28.90859694,6.039641213,6.400962234,23.53591159,9.489186118,13.42597009,17.04668374,9.310107714,10.6629992,11.58743707,5.787256066,6.648222892,12.62942494,9.857398883,10.8552456,7.019733267,5.842318915,13.06297331,2.41532075,1.409477348,-0.101364542,0.738217426,-1.38677798,0.116948111,0.051185656,0.968679893,2.809471425,-1.085830289,-0.479126789,-2.216599696,-0.3736805,-1.657123041,2.506271819,-0.967921056,1.911314288,0.663125252,0.015778267,0.15879335,0.919267571,0.460437644,0.165608164,0.906908671,0.959180846,0.332779723,0.004993083,0.277637648,0.631881883,0.026722043,0.708667327,0.097594758,0.012251488,0.333158533,0.056055386,0.507299139,82.41288123
8045,-107.9040156,39.59931831,8.324869716,-7.93706915,5.317830311,3.007039405,0.452642082,0.128212935,1.28E-06,52.90596842,6.809075317,0.510158118,15.34725022,2.052643868,3.713856518,-7.927881955,7.118657759,12.34873945,-6.620419392,-4.055936556,-16.79746687,6.051645177,-8.732838854,22.19088887,-8.764419339,22.19048545,15.54425884,30.22866555,6.760522406,6.222630586,23.02132144,8.745357033,11.82941545,16.62755686,8.484901013,12.58348136,13.48512811,6.175921032,7.104717294,11.32380611,10.02395675,8.25648234,7.477979516,7.656351698,11.44666225,1.750191993,1.007181828,0.081984317,0.666653748,0.234712415,0.313950975,-0.476791751,0.838979471,0.981345233,-0.490942269,-0.656733876,-2.364269566,0.534417944,-0.871196781,2.687692888,-1.172030402,2.898310621,1.357973049,0.080183106,0.313925208,0.934664423,0.505042434,0.814447294,0.753579182,0.633543683,0.401544858,0.326498321,0.623501676,0.511400298,0.018126345,0.593090339,0.383713489,0.007232808,0.241273994,0.003777851,0.174570054,81.95387945
8047,-105.5225372,39.85757475,0,-15.05031194,4.309628573,-4.309628573,0.231841789,0.173336811,3.94E-06,36.20231911,3.813776526,-1.648890984,17.84181827,-12.81175121,2.170139794,10.87083603,20.73303405,31.1219961,-20.21310441,-0.97298274,-18.44386856,1.778600143,-10.27140067,14.43388181,-9.058542521,11.49490498,-4.408221812,30.45076517,6.702252396,6.784608741,23.63129241,9.44304845,13.95706741,16.99692759,9.397326151,10.75899614,13.0687845,5.936079285,6.9440805,10.6938151,10.18548614,8.640422426,7.027371988,6.356020983,12.45269431,1.188880441,0.569029082,-0.243034056,0.755008146,-1.356738904,0.155486803,0.639576533,2.206269498,2.89264869,-1.546670572,-0.163909997,-2.656056272,0.16632045,-1.008434996,1.670506498,-1.289037002,1.808506456,-0.353997432,0.234576848,0.569377206,0.80799493,0.450300863,0.174961964,0.876447577,0.522494719,0.027437469,0.003846432,0.122043734,0.869812573,0.007946122,0.867915509,0.31332358,0.094919111,0.197480419,0.07062358,0.723364636,79.96262066
8049,-106.1183519,40.10261396,6.355662896,-5.744991942,30.16460605,-23.80894316,0.245538682,0.094985571,5.50E-05,23.0667154,3.041545523,-1.123247849,16.51052883,-7.780092241,2.955200504,1.942168894,17.17297945,19.96688857,-18.41433018,0.782961963,-16.91697494,4.94618406,-7.142330592,15.78845243,-9.013455556,13.41312128,-4.721155343,31.06563322,6.798241548,6.760859998,23.50960497,9.316349244,13.39609021,16.92616056,9.220474515,11.53028512,13.88575068,6.033438948,7.043855271,10.84759352,10.31132177,8.003349288,7.078423478,6.759582694,12.15343547,0.742515539,0.447401803,-0.166139788,0.702288654,-0.835100965,0.220601717,0.114743618,1.862483262,1.731690793,-1.326131413,0.129770429,-2.401664187,0.455970631,-0.692668773,1.972730648,-1.273370488,1.984312033,-0.388462616,0.457830723,0.654615914,0.868057666,0.482551355,0.40372456,0.825416943,0.908655696,0.06262857,0.083427096,0.184892871,0.896756392,0.016378598,0.64844271,0.488568794,0.048614075,0.202981103,0.047308206,0.697700117,77.75168572
